layer,tokens,time_us
embedding,1,3.2960000000000003
layernorm,1,1.696
qkv_proj,1,35.232
qk_norm,1,1.6
qk_norm,1,1.6
rotary_emb,1,2.304
o_proj,1,24.48
layernorm,1,1.856
gate_up_proj,1,105.857
act_fn,1,2.528
down_proj,1,55.616
layernorm,1,1.824
qkv_proj,1,35.137
qk_norm,1,1.568
qk_norm,1,1.6
rotary_emb,1,2.305
o_proj,1,24.449
layernorm,1,1.888
gate_up_proj,1,105.76
act_fn,1,2.496
down_proj,1,55.04
layernorm,1,1.856
qkv_proj,1,35.36
qk_norm,1,1.6
qk_norm,1,1.6
rotary_emb,1,2.273
o_proj,1,24.193
layernorm,1,1.856
gate_up_proj,1,105.664
act_fn,1,2.496
down_proj,1,55.073
layernorm,1,1.856
qkv_proj,1,35.297
qk_norm,1,1.6
qk_norm,1,1.6
rotary_emb,1,2.304
o_proj,1,24.321
layernorm,1,1.824
gate_up_proj,1,105.984
act_fn,1,2.464
down_proj,1,55.232
layernorm,1,1.856
qkv_proj,1,35.264
qk_norm,1,1.568
qk_norm,1,1.6
rotary_emb,1,2.304
o_proj,1,24.352
layernorm,1,1.856
gate_up_proj,1,105.793
act_fn,1,2.528
down_proj,1,54.72
layernorm,1,1.856
qkv_proj,1,35.296
qk_norm,1,1.601
qk_norm,1,1.6
rotary_emb,1,2.305
o_proj,1,24.705
layernorm,1,1.856
gate_up_proj,1,105.793
act_fn,1,2.496
down_proj,1,55.265
layernorm,1,1.824
qkv_proj,1,35.521
qk_norm,1,1.6
qk_norm,1,1.6
rotary_emb,1,2.304
o_proj,1,24.448
layernorm,1,1.889
gate_up_proj,1,105.633
act_fn,1,2.463
down_proj,1,54.88
layernorm,1,1.856
qkv_proj,1,35.264
qk_norm,1,1.567
qk_norm,1,1.6
rotary_emb,1,2.272
o_proj,1,24.448
layernorm,1,1.856
gate_up_proj,1,105.633
act_fn,1,2.496
down_proj,1,55.072
layernorm,1,1.856
qkv_proj,1,35.776
qk_norm,1,1.6
qk_norm,1,1.6
rotary_emb,1,2.272
o_proj,1,24.417
layernorm,1,1.856
gate_up_proj,1,105.761
act_fn,1,2.496
down_proj,1,54.529
layernorm,1,1.824
qkv_proj,1,35.424
qk_norm,1,1.568
qk_norm,1,1.6
rotary_emb,1,2.304
o_proj,1,24.512
layernorm,1,1.856
gate_up_proj,1,105.729
act_fn,1,2.432
down_proj,1,55.04
layernorm,1,1.824
qkv_proj,1,35.168
qk_norm,1,1.568
qk_norm,1,1.6
rotary_emb,1,2.336
o_proj,1,24.545
layernorm,1,1.856
gate_up_proj,1,105.729
act_fn,1,2.496
down_proj,1,55.488
layernorm,1,1.857
qkv_proj,1,35.552
qk_norm,1,1.6
qk_norm,1,1.632
rotary_emb,1,2.272
o_proj,1,24.576
layernorm,1,1.888
gate_up_proj,1,105.857
act_fn,1,2.496
down_proj,1,55.137
layernorm,1,1.824
qkv_proj,1,35.584
qk_norm,1,1.568
qk_norm,1,1.6
rotary_emb,1,2.304
o_proj,1,24.576
layernorm,1,1.857
gate_up_proj,1,105.889
act_fn,1,2.464
down_proj,1,55.712
layernorm,1,1.825
qkv_proj,1,35.328
qk_norm,1,1.568
qk_norm,1,1.6
rotary_emb,1,2.304
o_proj,1,24.576
layernorm,1,1.856
gate_up_proj,1,105.696
act_fn,1,2.497
down_proj,1,54.912
layernorm,1,1.856
qkv_proj,1,35.68
qk_norm,1,1.6
qk_norm,1,1.632
rotary_emb,1,2.272
o_proj,1,24.544
layernorm,1,1.856
gate_up_proj,1,105.665
act_fn,1,2.528
down_proj,1,54.816
layernorm,1,1.856
qkv_proj,1,35.296
qk_norm,1,1.6
qk_norm,1,1.6
rotary_emb,1,2.305
