routing_distribution,moe_tp_size,moe_ep_size,num_tokens_bucket,count,gap_p50,gap_p90,gap_max
balanced,1,4,1-4,3,0.859,1.421,1.421
balanced,1,4,512+,2,1.667,1.929,1.929
balanced,1,4,64-128,2,1.23,1.256,1.256
balanced,1,4,8-32,3,1.524,1.789,1.789
balanced,4,1,1-4,3,0.886,1.23,1.23
balanced,4,1,512+,2,1.531,1.744,1.744
balanced,4,1,64-128,2,1.204,1.225,1.225
balanced,4,1,8-32,3,1.508,1.811,1.811
power_law_1.01,1,4,1-4,3,1.239,1.475,1.475
power_law_1.01,1,4,512+,2,1.918,2.41,2.41
power_law_1.01,1,4,64-128,2,1.094,1.195,1.195
power_law_1.01,1,4,8-32,3,0.92,1.363,1.363
power_law_1.01,4,1,1-4,3,0.818,1.23,1.23
power_law_1.01,4,1,512+,2,1.686,2.034,2.034
power_law_1.01,4,1,64-128,2,1.049,1.172,1.172
power_law_1.01,4,1,8-32,3,0.859,0.906,0.906
power_law_1.2,1,4,1-4,3,1.128,1.639,1.639
power_law_1.2,1,4,512+,2,2.038,2.685,2.685
power_law_1.2,1,4,64-128,2,0.973,1.115,1.115
power_law_1.2,1,4,8-32,3,0.838,0.889,0.889
power_law_1.2,4,1,1-4,3,0.846,1.227,1.227
power_law_1.2,4,1,512+,2,1.796,2.27,2.27
power_law_1.2,4,1,64-128,2,0.959,1.104,1.104
power_law_1.2,4,1,8-32,3,0.7,0.716,0.716
